Band name,Band value
20150331_0130_sm_rootzone,0.284
20150331_0430_sm_rootzone,0.284
20150331_0730_sm_rootzone,0.285
20150331_1030_sm_rootzone,0.285
20150331_1330_sm_rootzone,0.284
20150331_1630_sm_rootzone,0.284
20150331_1930_sm_rootzone,0.282
20150331_2230_sm_rootzone,0.283
20150401_0130_sm_rootzone,0.286
20150401_0430_sm_rootzone,0.287
20150401_0730_sm_rootzone,0.287
20150401_1030_sm_rootzone,0.287
20150401_1330_sm_rootzone,0.287
20150401_1630_sm_rootzone,0.286
20150401_1930_sm_rootzone,0.286
20150401_2230_sm_rootzone,0.285
20150402_0130_sm_rootzone,0.285
20150402_0430_sm_rootzone,0.285
20150402_0730_sm_rootzone,0.286
20150402_1030_sm_rootzone,0.288
20150402_1330_sm_rootzone,0.288
20150402_1630_sm_rootzone,0.287
20150402_1930_sm_rootzone,0.286
20150402_2230_sm_rootzone,0.285
20150403_0130_sm_rootzone,0.285
20150403_0430_sm_rootzone,0.285
20150403_0730_sm_rootzone,0.286
20150403_1030_sm_rootzone,0.286
20150403_1330_sm_rootzone,0.285
20150403_1630_sm_rootzone,0.285
20150403_1930_sm_rootzone,0.284
20150403_2230_sm_rootzone,0.283
20150404_0130_sm_rootzone,0.283
20150404_0430_sm_rootzone,0.283
20150404_0730_sm_rootzone,0.283
20150404_1030_sm_rootzone,0.284
20150404_1330_sm_rootzone,0.284
20150404_1630_sm_rootzone,0.285
20150404_1930_sm_rootzone,0.285
20150404_2230_sm_rootzone,0.287
20150405_0130_sm_rootzone,0.29
20150405_0430_sm_rootzone,0.294
20150405_0730_sm_rootzone,0.299
20150405_1030_sm_rootzone,0.3
20150405_1330_sm_rootzone,0.301
20150405_1630_sm_rootzone,0.3
20150405_1930_sm_rootzone,0.299
20150405_2230_sm_rootzone,0.298
20150406_0130_sm_rootzone,0.298
20150406_0430_sm_rootzone,0.298
20150406_0730_sm_rootzone,0.297
20150406_1030_sm_rootzone,0.297
20150406_1330_sm_rootzone,0.296
20150406_1630_sm_rootzone,0.295
20150406_1930_sm_rootzone,0.293
20150406_2230_sm_rootzone,0.293
20150407_0130_sm_rootzone,0.292
20150407_0430_sm_rootzone,0.292
20150407_0730_sm_rootzone,0.292
20150407_1030_sm_rootzone,0.291
20150407_1330_sm_rootzone,0.291
20150407_1630_sm_rootzone,0.29
20150407_1930_sm_rootzone,0.289
20150407_2230_sm_rootzone,0.289
20150408_0130_sm_rootzone,0.289
20150408_0430_sm_rootzone,0.289
20150408_0730_sm_rootzone,0.289
20150408_1030_sm_rootzone,0.289
20150408_1330_sm_rootzone,0.289
20150408_1630_sm_rootzone,0.289
20150408_1930_sm_rootzone,0.288
20150408_2230_sm_rootzone,0.288
20150409_0130_sm_rootzone,0.289
20150409_0430_sm_rootzone,0.288
20150409_0730_sm_rootzone,0.288
20150409_1030_sm_rootzone,0.288
20150409_1330_sm_rootzone,0.288
20150409_1630_sm_rootzone,0.287
20150409_1930_sm_rootzone,0.286
20150409_2230_sm_rootzone,0.285
20150410_0130_sm_rootzone,0.285
20150410_0430_sm_rootzone,0.285
20150410_0730_sm_rootzone,0.285
20150410_1030_sm_rootzone,0.285
20150410_1330_sm_rootzone,0.285
20150410_1630_sm_rootzone,0.284
